Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
0; 2020-11-11 08:24:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
23; 2020-11-11 08:59:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69113; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
24; 2020-11-11 09:04:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
25; 2020-11-11 09:04:11; Level; UVa/Padova S2013 - Blood glucose; 7.69488; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
26; 2020-11-11 09:04:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69208; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
27; 2020-11-11 09:09:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
28; 2020-11-11 09:09:11; Level; UVa/Padova S2013 - Blood glucose; 7.69763; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
29; 2020-11-11 09:09:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69351; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
30; 2020-11-11 09:14:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
31; 2020-11-11 09:14:11; Level; UVa/Padova S2013 - Blood glucose; 7.70127; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
32; 2020-11-11 09:14:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69554; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
33; 2020-11-11 09:19:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
34; 2020-11-11 09:19:11; Level; UVa/Padova S2013 - Blood glucose; 7.70592; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
35; 2020-11-11 09:19:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.69829; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
36; 2020-11-11 09:24:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
37; 2020-11-11 09:24:11; Level; UVa/Padova S2013 - Blood glucose; 7.71168; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
38; 2020-11-11 09:24:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.70186; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
39; 2020-11-11 09:29:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
40; 2020-11-11 09:29:11; Level; UVa/Padova S2013 - Blood glucose; 7.71865; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
41; 2020-11-11 09:29:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.70638; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
42; 2020-11-11 09:34:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
43; 2020-11-11 09:34:11; Level; UVa/Padova S2013 - Blood glucose; 7.72691; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
44; 2020-11-11 09:34:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.71194; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
45; 2020-11-11 09:39:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
46; 2020-11-11 09:39:11; Level; UVa/Padova S2013 - Blood glucose; 7.73653; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
47; 2020-11-11 09:39:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.71864; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
48; 2020-11-11 09:44:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
49; 2020-11-11 09:44:11; Level; UVa/Padova S2013 - Blood glucose; 7.74758; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
50; 2020-11-11 09:44:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.72655; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
51; 2020-11-11 09:49:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
52; 2020-11-11 09:49:11; Level; UVa/Padova S2013 - Blood glucose; 7.76011; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
53; 2020-11-11 09:49:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.73577; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
54; 2020-11-11 09:54:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
55; 2020-11-11 09:54:11; Level; UVa/Padova S2013 - Blood glucose; 7.77418; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
56; 2020-11-11 09:54:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.74636; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
57; 2020-11-11 09:59:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
58; 2020-11-11 09:59:11; Level; UVa/Padova S2013 - Blood glucose; 7.78981; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
59; 2020-11-11 09:59:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.75837; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
60; 2020-11-11 10:04:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
61; 2020-11-11 10:04:11; Level; UVa/Padova S2013 - Blood glucose; 7.80704; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
62; 2020-11-11 10:04:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.77187; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
63; 2020-11-11 10:09:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
64; 2020-11-11 10:09:11; Level; UVa/Padova S2013 - Blood glucose; 7.8259; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
65; 2020-11-11 10:09:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.78689; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
66; 2020-11-11 10:14:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
67; 2020-11-11 10:14:11; Level; UVa/Padova S2013 - Blood glucose; 7.84639; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
68; 2020-11-11 10:14:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.80346; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
69; 2020-11-11 10:19:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
70; 2020-11-11 10:19:11; Level; UVa/Padova S2013 - Blood glucose; 7.86853; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
71; 2020-11-11 10:19:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.82162; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
72; 2020-11-11 10:24:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
73; 2020-11-11 10:24:11; Level; UVa/Padova S2013 - Blood glucose; 7.89232; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
74; 2020-11-11 10:24:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.84139; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
75; 2020-11-11 10:29:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
76; 2020-11-11 10:29:11; Level; UVa/Padova S2013 - Blood glucose; 7.91776; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
77; 2020-11-11 10:29:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.86278; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
78; 2020-11-11 10:34:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
79; 2020-11-11 10:34:11; Level; UVa/Padova S2013 - Blood glucose; 7.94485; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
80; 2020-11-11 10:34:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.8858; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
81; 2020-11-11 10:39:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
82; 2020-11-11 10:39:11; Level; UVa/Padova S2013 - Blood glucose; 7.97357; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
83; 2020-11-11 10:39:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.91045; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
84; 2020-11-11 10:44:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
85; 2020-11-11 10:44:11; Level; UVa/Padova S2013 - Blood glucose; 8.00392; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
86; 2020-11-11 10:44:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.93673; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
87; 2020-11-11 10:49:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
88; 2020-11-11 10:49:11; Level; UVa/Padova S2013 - Blood glucose; 8.03587; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
89; 2020-11-11 10:49:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.96463; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
90; 2020-11-11 10:54:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
91; 2020-11-11 10:54:11; Level; UVa/Padova S2013 - Blood glucose; 8.0694; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
92; 2020-11-11 10:54:11; Level; UVa/Padova S2013 - Interstitial glucose; 7.99415; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
93; 2020-11-11 10:59:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
94; 2020-11-11 10:59:11; Level; UVa/Padova S2013 - Blood glucose; 8.1045; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
95; 2020-11-11 10:59:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.02527; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
96; 2020-11-11 11:04:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
97; 2020-11-11 11:04:11; Level; UVa/Padova S2013 - Blood glucose; 8.14114; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
98; 2020-11-11 11:04:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.05798; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
99; 2020-11-11 11:09:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
100; 2020-11-11 11:09:11; Level; UVa/Padova S2013 - Blood glucose; 8.17929; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
101; 2020-11-11 11:09:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.09225; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
102; 2020-11-11 11:14:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
103; 2020-11-11 11:14:11; Level; UVa/Padova S2013 - Blood glucose; 8.21893; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
104; 2020-11-11 11:14:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.12806; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
105; 2020-11-11 11:19:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
106; 2020-11-11 11:19:11; Level; UVa/Padova S2013 - Blood glucose; 8.26001; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
107; 2020-11-11 11:19:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.16539; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
108; 2020-11-11 11:24:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
109; 2020-11-11 11:24:11; Level; UVa/Padova S2013 - Blood glucose; 8.30253; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
110; 2020-11-11 11:24:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.20421; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
111; 2020-11-11 11:29:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
112; 2020-11-11 11:29:11; Level; UVa/Padova S2013 - Blood glucose; 8.34644; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
113; 2020-11-11 11:29:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.24449; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
114; 2020-11-11 11:34:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
115; 2020-11-11 11:34:11; Level; UVa/Padova S2013 - Blood glucose; 8.3917; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
116; 2020-11-11 11:34:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.28621; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
117; 2020-11-11 11:39:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
118; 2020-11-11 11:39:11; Level; UVa/Padova S2013 - Blood glucose; 8.4383; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
119; 2020-11-11 11:39:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.32933; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
120; 2020-11-11 11:44:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
121; 2020-11-11 11:44:11; Level; UVa/Padova S2013 - Blood glucose; 8.48618; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {1EEE155A-9150-4958-8AFD-3161B73CF9FC}
122; 2020-11-11 11:44:11; Level; UVa/Padova S2013 - Interstitial glucose; 8.37383; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {55B07D3D-0D99-47D0-8A3B-3E543C25E5B1}
123; 2020-11-11 11:49:11; Level; UVa/Padova S2013 - Delivered insulin; 0; 0; 2; {B387A874-8D1E-460B-A5EC-BA36AB7516DE}; {AA402CE3-BA4A-457B-AA19-1B908B9B53C4}
