Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
2339; 2020-11-11 08:33:00; Time_Segment_Start; ; ; 1; 9; {CF42445D-9526-4414-A13D-2F54B9592798}; {00000000-0000-0000-0000-000000000000}
2380; 2020-11-11 09:43:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2381; 2020-11-11 09:43:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2382; 2020-11-11 09:48:00; Level; Blood glucose; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2383; 2020-11-11 09:48:00; Level; Calibration; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2384; 2020-11-11 09:48:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2385; 2020-11-11 09:53:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2386; 2020-11-11 09:53:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2387; 2020-11-11 09:53:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2388; 2020-11-11 09:58:00; Level; Blood glucose; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2389; 2020-11-11 09:58:00; Level; Calibration; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2390; 2020-11-11 09:58:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2391; 2020-11-11 10:03:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2392; 2020-11-11 10:03:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2393; 2020-11-11 10:03:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2394; 2020-11-11 10:08:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2395; 2020-11-11 10:08:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2396; 2020-11-11 10:08:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2397; 2020-11-11 10:13:00; Level; Blood glucose; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2398; 2020-11-11 10:13:00; Level; Calibration; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2399; 2020-11-11 10:13:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2400; 2020-11-11 10:18:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2401; 2020-11-11 10:18:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2402; 2020-11-11 10:18:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2403; 2020-11-11 10:23:00; Level; Blood glucose; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2404; 2020-11-11 10:23:00; Level; Calibration; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2405; 2020-11-11 10:23:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2406; 2020-11-11 10:28:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2407; 2020-11-11 10:28:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2408; 2020-11-11 10:28:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2409; 2020-11-11 10:33:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2410; 2020-11-11 10:33:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2411; 2020-11-11 10:33:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2412; 2020-11-11 10:38:00; Level; Blood glucose; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2413; 2020-11-11 10:38:00; Level; Calibration; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2414; 2020-11-11 10:38:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2415; 2020-11-11 10:43:00; Level; Blood glucose; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2416; 2020-11-11 10:43:00; Level; Calibration; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2417; 2020-11-11 10:43:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2418; 2020-11-11 10:48:00; Level; Blood glucose; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2419; 2020-11-11 10:48:00; Level; Calibration; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2420; 2020-11-11 10:48:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2421; 2020-11-11 10:53:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2422; 2020-11-11 10:53:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2423; 2020-11-11 10:53:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2424; 2020-11-11 10:58:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2425; 2020-11-11 10:58:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2426; 2020-11-11 10:58:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2427; 2020-11-11 11:03:00; Level; Blood glucose; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2428; 2020-11-11 11:03:00; Level; Calibration; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2429; 2020-11-11 11:03:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2430; 2020-11-11 11:08:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2431; 2020-11-11 11:08:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2432; 2020-11-11 11:08:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2433; 2020-11-11 11:13:00; Level; Blood glucose; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2434; 2020-11-11 11:13:00; Level; Calibration; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2435; 2020-11-11 11:13:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2436; 2020-11-11 11:18:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2437; 2020-11-11 11:18:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2438; 2020-11-11 11:18:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2439; 2020-11-11 11:23:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2440; 2020-11-11 11:23:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2441; 2020-11-11 11:23:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2442; 2020-11-11 11:28:00; Level; Blood glucose; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2443; 2020-11-11 11:28:00; Level; Calibration; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2444; 2020-11-11 11:28:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2445; 2020-11-11 11:33:00; Level; Blood glucose; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2446; 2020-11-11 11:33:00; Level; Calibration; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2447; 2020-11-11 11:33:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2448; 2020-11-11 11:38:00; Level; Blood glucose; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2449; 2020-11-11 11:38:00; Level; Calibration; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2450; 2020-11-11 11:38:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2451; 2020-11-11 11:43:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2452; 2020-11-11 11:43:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2453; 2020-11-11 11:43:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2454; 2020-11-11 11:48:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2455; 2020-11-11 11:48:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2456; 2020-11-11 11:48:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2457; 2020-11-11 11:53:00; Level; Blood glucose; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2458; 2020-11-11 11:53:00; Level; Calibration; 13; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2459; 2020-11-11 11:53:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2460; 2020-11-11 11:58:00; Level; Blood glucose; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2461; 2020-11-11 11:58:00; Level; Calibration; 12.0451; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2462; 2020-11-11 11:58:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2463; 2020-11-11 12:03:00; Level; Blood glucose; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2464; 2020-11-11 12:03:00; Level; Calibration; 9.54509; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2465; 2020-11-11 12:03:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2466; 2020-11-11 12:08:00; Level; Blood glucose; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2467; 2020-11-11 12:08:00; Level; Calibration; 6.45492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2468; 2020-11-11 12:08:00; Level; Interstitial glucose; 12.7553; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2469; 2020-11-11 12:13:00; Level; Blood glucose; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2470; 2020-11-11 12:13:00; Level; Calibration; 3.95492; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2471; 2020-11-11 12:13:00; Level; Interstitial glucose; 10.9389; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2472; 2020-11-11 12:18:00; Level; Blood glucose; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2473; 2020-11-11 12:18:00; Level; Calibration; 3; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2474; 2020-11-11 12:18:00; Level; Interstitial glucose; 8; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2475; 2020-11-11 12:23:00; Level; Blood glucose; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2476; 2020-11-11 12:23:00; Level; Calibration; 3.95491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2477; 2020-11-11 12:23:00; Level; Interstitial glucose; 5.06107; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2478; 2020-11-11 12:28:00; Level; Blood glucose; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2479; 2020-11-11 12:28:00; Level; Calibration; 6.45491; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
2480; 2020-11-11 12:28:00; Level; Interstitial glucose; 3.24472; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {3034568D-F498-455B-AC6A-BCF301F69C9E}
2481; 2020-11-11 12:33:00; Level; Blood glucose; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {F666F6C2-D7C0-43E8-8EE1-C8CAA8F860E5}
2482; 2020-11-11 12:33:00; Level; Calibration; 9.54508; 1; 2; {CF42445D-9526-4414-A13D-2F54B9592798}; {ED4CD0F5-F728-44FE-9552-97338BD7E8D5}
